technician_id,technician_name,specialty,skill_level
T-001,Alex Santos,Hydraulics,Senior
T-002,Bruno Sousa,Electrical,Technician
T-003,Carla Rodrigues,Electrical,Technician
T-004,Daniel Costa,Multi-skilled,Senior
T-005,Elena Sousa,Multi-skilled,Senior
T-006,Filipe Santos,Multi-skilled,Junior
T-007,Gabriel Oliveira,Automation,Technician
T-008,Hugo Santos,Mechanical,Senior
T-009,Ines Pereira,Electrical,Senior
T-010,Joao Santos,Multi-skilled,Senior
T-011,Luis Rodrigues,Mechanical,Junior
T-012,Marta Costa,Automation,Junior
T-013,Miguel Oliveira,Mechanical,Senior
T-014,Nuno Silva,Hydraulics,Junior
T-015,Paula Santos,Mechanical,Senior
T-016,Rui Silva,Automation,Senior
T-017,Sofia Rodrigues,Hydraulics,Senior
T-018,Tiago Pereira,Multi-skilled,Technician
T-019,Vasco Gomes,Automation,Senior
T-020,Andre Sousa,Hydraulics,Senior
T-021,Beatriz Rodrigues,Mechanical,Technician
T-022,Claudia Santos,Multi-skilled,Junior
T-023,Diogo Costa,Electrical,Senior
T-024,Eva Rodrigues,Multi-skilled,Technician
T-025,Goncalo Costa,Mechanical,Junior
T-026,Helena Pereira,Multi-skilled,Senior
T-027,Jorge Sousa,Mechanical,Junior
T-028,Leonor Sousa,Mechanical,Junior
T-029,Marco Oliveira,Multi-skilled,Senior
T-030,Teresa Silva,Multi-skilled,Senior
